"","week","year","Province","civil","milit","nomale","fsa","population","duration","civil_lag","milit_lag"
"1",12,2011," Aleppo",0,0,0,0,5927000,1,NA,NA
"2",13,2011," Aleppo",0,0,0,0,5927000,2,0,0
"3",14,2011," Aleppo",0,0,0,0,5927000,3,0,0
"4",15,2011," Aleppo",0,0,0,0,5927000,4,0,0
"5",16,2011," Aleppo",0,0,0,0,5927000,5,0,0
"6",17,2011," Aleppo",0,0,0,0,5927000,6,0,0
"7",18,2011," Aleppo",0,0,0,0,5927000,7,0,0
"8",19,2011," Aleppo",0,0,0,0,5927000,8,0,0
"9",20,2011," Aleppo",0,0,0,0,5927000,9,0,0
"10",21,2011," Aleppo",0,0,0,0,5927000,10,0,0
"11",22,2011," Aleppo",0,0,0,0,5927000,11,0,0
"12",23,2011," Aleppo",0,0,0,0,5927000,12,0,0
"13",24,2011," Aleppo",0,0,0,0,5927000,13,0,0
"14",25,2011," Aleppo",0,0,0,0,5927000,14,0,0
"15",26,2011," Aleppo",0,0,0,0,5927000,15,0,0
"16",27,2011," Aleppo",0,0,0,0,5927000,16,0,0
"17",28,2011," Aleppo",0,0,0,0,5927000,17,0,0
"18",29,2011," Aleppo",0,0,0,0,5927000,18,0,0
"19",30,2011," Aleppo",0,0,0,0,5927000,19,0,0
"20",31,2011," Aleppo",0,0,0,0,5927000,20,0,0
"21",32,2011," Aleppo",0,0,0,0,5927000,21,0,0
"22",33,2011," Aleppo",0,0,0,0,5927000,22,0,0
"23",34,2011," Aleppo",0,0,0,0,5927000,23,0,0
"24",35,2011," Aleppo",0,0,0,0,5927000,24,0,0
"25",36,2011," Aleppo",0,0,0,0,5927000,25,0,0
"26",37,2011," Aleppo",0,0,0,0,5927000,26,0,0
"27",38,2011," Aleppo",0,0,0,0,5927000,27,0,0
"28",39,2011," Aleppo",0,0,0,0,5927000,28,0,0
"29",40,2011," Aleppo",0,0,0,0,5927000,29,0,0
"30",41,2011," Aleppo",0,0,0,0,5927000,30,0,0
"31",42,2011," Aleppo",0,0,0,0,5927000,31,0,0
"32",43,2011," Aleppo",0,0,0,0,5927000,32,0,0
"33",44,2011," Aleppo",0,0,0,0,5927000,33,0,0
"34",45,2011," Aleppo",0,0,0,0,5927000,34,0,0
"35",46,2011," Aleppo",0,0,0,0,5927000,35,0,0
"36",47,2011," Aleppo",0,0,0,0,5927000,36,0,0
"37",48,2011," Aleppo",0,0,0,0,5927000,37,0,0
"38",49,2011," Aleppo",0,0,0,0,5927000,38,0,0
"39",50,2011," Aleppo",0,0,0,0,5927000,39,0,0
"40",51,2011," Aleppo",0,0,0,0,5927000,40,0,0
"41",52,2011," Aleppo",0,0,0,0,5927000,41,0,0
"42",53,2011," Aleppo",0,0,0,0,5927000,42,0,0
"43",1,2012," Aleppo",0,0,0,0,5927000,43,0,0
"44",2,2012," Aleppo",0,0,0,0,5927000,44,0,0
"45",3,2012," Aleppo",0,0,0,0,5927000,45,0,0
"46",4,2012," Aleppo",0,0,0,0,5927000,46,0,0
"47",5,2012," Aleppo",0,0,0,0,5927000,47,0,0
"48",6,2012," Aleppo",0,0,0,0,5927000,48,0,0
"49",7,2012," Aleppo",0,0,0,0,5927000,49,0,0
"50",8,2012," Aleppo",3,10,1,1,5927000,50,0,0
"51",9,2012," Aleppo",15,3,1,2,5927000,51,3,10
"52",10,2012," Aleppo",0,0,0,0,5927000,52,15,3
"53",11,2012," Aleppo",4,9,1,5,5927000,53,0,0
"54",12,2012," Aleppo",0,0,0,0,5927000,54,4,9
"55",13,2012," Aleppo",0,0,0,0,5927000,55,0,0
