"","month","year","Province","civil","milit","fsa","population","duration","civil_lag"
"1",3,2011," Aleppo",0,0,0,5927000,1,NA
"2",4,2011," Aleppo",0,0,0,5927000,2,0
"3",5,2011," Aleppo",0,0,0,5927000,3,0
"4",6,2011," Aleppo",0,0,0,5927000,4,0
"5",7,2011," Aleppo",0,0,0,5927000,5,0
"6",8,2011," Aleppo",0,0,0,5927000,6,0
"7",9,2011," Aleppo",0,0,0,5927000,7,0
"8",10,2011," Aleppo",0,0,0,5927000,8,0
"9",11,2011," Aleppo",0,0,0,5927000,9,0
"10",12,2011," Aleppo",0,0,0,5927000,10,0
"11",1,2012," Aleppo",0,0,0,5927000,11,0
"12",2,2012," Aleppo",1,40,13,5927000,12,0
"13",3,2012," Aleppo",5,30,12,5927000,13,1
"14",4,2012," Aleppo",2,20,7,5927000,14,5
"15",5,2012," Aleppo",4,46,9,5927000,15,2
"16",6,2012," Aleppo",8,52,10,5927000,16,4
"17",7,2012," Aleppo",14,73,64,5927000,17,8
"18",8,2012," Aleppo",52,68,59,5927000,18,14
"19",9,2012," Aleppo",79,40,88,5927000,19,52
"20",10,2012," Aleppo",30,34,99,5927000,20,79
"21",11,2012," Aleppo",52,42,113,5927000,21,30
"22",3,2011," Damascus",0,0,0,1780000,1,NA
"23",4,2011," Damascus",0,0,0,1780000,2,0
"24",5,2011," Damascus",0,0,0,1780000,3,0
"25",6,2011," Damascus",0,0,0,1780000,4,0
"26",7,2011," Damascus",0,0,0,1780000,5,0
"27",8,2011," Damascus",0,0,0,1780000,6,0
"28",9,2011," Damascus",1,1,1,1780000,7,0
"29",10,2011," Damascus",0,0,0,1780000,8,1
"30",11,2011," Damascus",1,2,1,1780000,9,0
"31",12,2011," Damascus",1,6,2,1780000,10,1
"32",1,2012," Damascus",1,6,1,1780000,11,1
"33",2,2012," Damascus",0,0,0,1780000,12,1
"34",3,2012," Damascus",1,6,1,1780000,13,0
"35",4,2012," Damascus",1,11,5,1780000,14,1
"36",5,2012," Damascus",0,0,0,1780000,15,1
"37",6,2012," Damascus",3,14,5,1780000,16,0
"38",7,2012," Damascus",61,19,30,1780000,17,3
"39",8,2012," Damascus",97,12,22,1780000,18,61
"40",9,2012," Damascus",169,10,24,1780000,19,97
"41",10,2012," Damascus",28,6,11,1780000,20,169
"42",11,2012," Damascus",42,1,31,1780000,21,28
"43",3,2011," Damascus Suburbs",0,0,0,1877000,1,NA
"44",4,2011," Damascus Suburbs",1,2,1,1877000,2,0
"45",5,2011," Damascus Suburbs",0,0,0,1877000,3,1
"46",6,2011," Damascus Suburbs",0,0,0,1877000,4,0
"47",7,2011," Damascus Suburbs",0,0,0,1877000,5,0
"48",8,2011," Damascus Suburbs",0,0,0,1877000,6,0
"49",9,2011," Damascus Suburbs",4,5,1,1877000,7,0
"50",10,2011," Damascus Suburbs",1,5,6,1877000,8,4
"51",11,2011," Damascus Suburbs",0,0,0,1877000,9,1
"52",12,2011," Damascus Suburbs",2,17,6,1877000,10,0
"53",1,2012," Damascus Suburbs",3,10,11,1877000,11,2
"54",2,2012," Damascus Suburbs",4,14,21,1877000,12,3
"55",3,2012," Damascus Suburbs",5,9,24,1877000,13,4
"56",4,2012," Damascus Suburbs",4,12,13,1877000,14,5
"57",5,2012," Damascus Suburbs",6,6,17,1877000,15,4
"58",6,2012," Damascus Suburbs",30,32,39,1877000,16,6
"59",7,2012," Damascus Suburbs",66,26,65,1877000,17,30
"60",8,2012," Damascus Suburbs",213,15,73,1877000,18,66
"61",9,2012," Damascus Suburbs",226,10,58,1877000,19,213
"62",10,2012," Damascus Suburbs",139,12,102,1877000,20,226
"63",11,2012," Damascus Suburbs",106,16,121,1877000,21,139
"64",3,2011," Daraa",0,0,0,1126000,1,NA
"65",4,2011," Daraa",6,1,2,1126000,2,0
"66",5,2011," Daraa",13,1,3,1126000,3,6
"67",6,2011," Daraa",0,0,0,1126000,4,13
"68",7,2011," Daraa",0,0,0,1126000,5,0
"69",8,2011," Daraa",2,3,1,1126000,6,0
"70",9,2011," Daraa",1,1,5,1126000,7,2
"71",10,2011," Daraa",0,0,0,1126000,8,1
"72",11,2011," Daraa",0,0,0,1126000,9,0
"73",12,2011," Daraa",5,7,8,1126000,10,0
"74",1,2012," Daraa",1,4,4,1126000,11,5
"75",2,2012," Daraa",2,10,21,1126000,12,1
"76",3,2012," Daraa",5,5,24,1126000,13,2
"77",4,2012," Daraa",7,7,15,1126000,14,5
"78",5,2012," Daraa",8,9,13,1126000,15,7
"79",6,2012," Daraa",10,17,37,1126000,16,8
"80",7,2012," Daraa",9,2,33,1126000,17,10
"81",8,2012," Daraa",60,8,50,1126000,18,9
"82",9,2012," Daraa",54,4,39,1126000,19,60
"83",10,2012," Daraa",53,3,34,1126000,20,54
"84",11,2012," Daraa",28,4,37,1126000,21,53
"85",3,2011," Deir Ezzor",0,0,0,1692000,1,NA
"86",4,2011," Deir Ezzor",0,0,0,1692000,2,0
"87",5,2011," Deir Ezzor",0,0,0,1692000,3,0
"88",6,2011," Deir Ezzor",0,0,0,1692000,4,0
"89",7,2011," Deir Ezzor",0,0,0,1692000,5,0
"90",8,2011," Deir Ezzor",0,0,0,1692000,6,0
"91",9,2011," Deir Ezzor",1,1,1,1692000,7,0
"92",10,2011," Deir Ezzor",0,0,0,1692000,8,1
"93",11,2011," Deir Ezzor",2,7,1,1692000,9,0
"94",12,2011," Deir Ezzor",0,0,0,1692000,10,2
"95",1,2012," Deir Ezzor",0,0,0,1692000,11,0
"96",2,2012," Deir Ezzor",3,15,5,1692000,12,0
"97",3,2012," Deir Ezzor",1,8,15,1692000,13,3
"98",4,2012," Deir Ezzor",0,0,0,1692000,14,1
"99",5,2012," Deir Ezzor",3,12,10,1692000,15,0
"100",6,2012," Deir Ezzor",2,29,17,1692000,16,3
"101",7,2012," Deir Ezzor",8,18,41,1692000,17,2
"102",8,2012," Deir Ezzor",5,9,37,1692000,18,8
"103",9,2012," Deir Ezzor",61,6,48,1692000,19,5
"104",10,2012," Deir Ezzor",29,5,44,1692000,20,61
"105",11,2012," Deir Ezzor",4,5,65,1692000,21,29
"106",3,2011," Hama",0,0,0,2113000,1,NA
"107",4,2011," Hama",0,0,0,2113000,2,0
"108",5,2011," Hama",0,0,0,2113000,3,0
"109",6,2011," Hama",0,0,0,2113000,4,0
"110",7,2011," Hama",1,7,1,2113000,5,0
"111",8,2011," Hama",3,19,2,2113000,6,1
"112",9,2011," Hama",3,10,2,2113000,7,3
"113",10,2011," Hama",0,0,0,2113000,8,3
"114",11,2011," Hama",3,26,2,2113000,9,0
"115",12,2011," Hama",6,26,8,2113000,10,3
"116",1,2012," Hama",2,41,8,2113000,11,6
"117",2,2012," Hama",6,42,2,2113000,12,2
"118",3,2012," Hama",4,25,10,2113000,13,6
"119",4,2012," Hama",5,24,10,2113000,14,4
"120",5,2012," Hama",27,37,13,2113000,15,5
"121",6,2012," Hama",38,59,8,2113000,16,27
"122",7,2012," Hama",13,61,21,2113000,17,38
"123",8,2012," Hama",12,57,22,2113000,18,13
"124",9,2012," Hama",48,33,26,2113000,19,12
"125",10,2012," Hama",13,49,30,2113000,20,48
"126",11,2012," Hama",11,51,23,2113000,21,13
"127",3,2011," Hasakeh",0,0,0,1604000,1,NA
"128",4,2011," Hasakeh",0,0,0,1604000,2,0
"129",5,2011," Hasakeh",0,0,0,1604000,3,0
"130",6,2011," Hasakeh",0,0,0,1604000,4,0
"131",7,2011," Hasakeh",0,0,0,1604000,5,0
"132",8,2011," Hasakeh",0,0,0,1604000,6,0
"133",9,2011," Hasakeh",0,0,0,1604000,7,0
"134",10,2011," Hasakeh",0,0,0,1604000,8,0
"135",11,2011," Hasakeh",0,0,0,1604000,9,0
"136",12,2011," Hasakeh",0,0,0,1604000,10,0
"137",1,2012," Hasakeh",1,5,2,1604000,11,0
"138",2,2012," Hasakeh",0,0,0,1604000,12,1
"139",3,2012," Hasakeh",0,0,0,1604000,13,0
"140",4,2012," Hasakeh",1,4,2,1604000,14,0
"141",5,2012," Hasakeh",0,0,0,1604000,15,1
"142",6,2012," Hasakeh",0,0,0,1604000,16,0
"143",7,2012," Hasakeh",0,0,0,1604000,17,0
"144",8,2012," Hasakeh",1,13,4,1604000,18,0
"145",9,2012," Hasakeh",0,0,0,1604000,19,1
"146",10,2012," Hasakeh",0,0,0,1604000,20,0
"147",11,2012," Hasakeh",0,0,0,1604000,21,0
"148",3,2011," Homs",0,0,0,2147000,1,NA
"149",4,2011," Homs",3,10,1,2147000,2,0
"150",5,2011," Homs",12,11,2,2147000,3,3
"151",6,2011," Homs",2,11,2,2147000,4,12
"152",7,2011," Homs",0,0,0,2147000,5,2
"153",8,2011," Homs",11,7,4,2147000,6,0
"154",9,2011," Homs",8,27,15,2147000,7,11
"155",10,2011," Homs",10,19,4,2147000,8,8
"156",11,2011," Homs",22,31,11,2147000,9,10
"157",12,2011," Homs",24,20,7,2147000,10,22
"158",1,2012," Homs",14,20,15,2147000,11,24
"159",2,2012," Homs",18,56,23,2147000,12,14
"160",3,2012," Homs",128,24,24,2147000,13,18
"161",4,2012," Homs",90,21,20,2147000,14,128
"162",5,2012," Homs",73,32,28,2147000,15,90
"163",6,2012," Homs",18,49,41,2147000,16,73
"164",7,2012," Homs",12,42,77,2147000,17,18
"165",8,2012," Homs",21,42,62,2147000,18,12
"166",9,2012," Homs",12,31,45,2147000,19,21
"167",10,2012," Homs",6,32,58,2147000,20,12
"168",11,2012," Homs",6,41,26,2147000,21,6
"169",3,2011," Idlib",0,0,0,2072000,1,NA
"170",4,2011," Idlib",1,2,1,2072000,2,0
"171",5,2011," Idlib",0,0,0,2072000,3,1
"172",6,2011," Idlib",0,0,0,2072000,4,0
"173",7,2011," Idlib",0,0,0,2072000,5,0
"174",8,2011," Idlib",3,1,4,2072000,6,0
"175",9,2011," Idlib",7,5,5,2072000,7,3
"176",10,2011," Idlib",1,7,2,2072000,8,7
"177",11,2011," Idlib",2,10,9,2072000,9,1
"178",12,2011," Idlib",11,12,19,2072000,10,2
"179",1,2012," Idlib",5,14,20,2072000,11,11
"180",2,2012," Idlib",41,24,14,2072000,12,5
"181",3,2012," Idlib",43,11,32,2072000,13,41
"182",4,2012," Idlib",16,14,37,2072000,14,43
"183",5,2012," Idlib",7,11,23,2072000,15,16
"184",6,2012," Idlib",9,19,24,2072000,16,7
"185",7,2012," Idlib",18,16,35,2072000,17,9
"186",8,2012," Idlib",40,7,78,2072000,18,18
"187",9,2012," Idlib",12,11,45,2072000,19,40
"188",10,2012," Idlib",16,13,118,2072000,20,12
"189",11,2012," Idlib",6,20,76,2072000,21,16
"190",3,2011," Lattakia",0,0,0,1229000,1,NA
"191",4,2011," Lattakia",0,0,0,1229000,2,0
"192",5,2011," Lattakia",0,0,0,1229000,3,0
"193",6,2011," Lattakia",0,0,0,1229000,4,0
"194",7,2011," Lattakia",0,0,0,1229000,5,0
"195",8,2011," Lattakia",0,0,0,1229000,6,0
"196",9,2011," Lattakia",1,12,1,1229000,7,0
"197",10,2011," Lattakia",1,12,2,1229000,8,1
"198",11,2011," Lattakia",0,0,0,1229000,9,1
"199",12,2011," Lattakia",0,0,0,1229000,10,0
"200",1,2012," Lattakia",0,0,0,1229000,11,0
"201",2,2012," Lattakia",0,0,0,1229000,12,0
"202",3,2012," Lattakia",2,29,1,1229000,13,0
"203",4,2012," Lattakia",0,0,0,1229000,14,2
"204",5,2012," Lattakia",0,0,0,1229000,15,0
"205",6,2012," Lattakia",3,61,8,1229000,16,0
"206",7,2012," Lattakia",0,0,0,1229000,17,3
"207",8,2012," Lattakia",3,63,10,1229000,18,0
"208",9,2012," Lattakia",2,31,8,1229000,19,3
"209",10,2012," Lattakia",6,61,20,1229000,20,2
"210",11,2012," Lattakia",2,53,16,1229000,21,6
"211",3,2011," Quneitra",0,0,0,489000,1,NA
"212",4,2011," Quneitra",0,0,0,489000,2,0
