"","week","year","Province","civil","milit","fsa","population","duration","civil_lag"
"1",12,2011," Aleppo",0,0,0,5927000,1,NA
"2",13,2011," Aleppo",0,0,0,5927000,2,0
"3",14,2011," Aleppo",0,0,0,5927000,3,0
"4",15,2011," Aleppo",0,0,0,5927000,4,0
"5",16,2011," Aleppo",0,0,0,5927000,5,0
"6",17,2011," Aleppo",0,0,0,5927000,6,0
"7",18,2011," Aleppo",0,0,0,5927000,7,0
"8",19,2011," Aleppo",0,0,0,5927000,8,0
"9",20,2011," Aleppo",0,0,0,5927000,9,0
"10",21,2011," Aleppo",0,0,0,5927000,10,0
"11",22,2011," Aleppo",0,0,0,5927000,11,0
"12",23,2011," Aleppo",0,0,0,5927000,12,0
"13",24,2011," Aleppo",0,0,0,5927000,13,0
"14",25,2011," Aleppo",0,0,0,5927000,14,0
"15",26,2011," Aleppo",0,0,0,5927000,15,0
"16",27,2011," Aleppo",0,0,0,5927000,16,0
"17",28,2011," Aleppo",0,0,0,5927000,17,0
"18",29,2011," Aleppo",0,0,0,5927000,18,0
"19",30,2011," Aleppo",0,0,0,5927000,19,0
"20",31,2011," Aleppo",0,0,0,5927000,20,0
"21",32,2011," Aleppo",0,0,0,5927000,21,0
"22",33,2011," Aleppo",0,0,0,5927000,22,0
"23",34,2011," Aleppo",0,0,0,5927000,23,0
"24",35,2011," Aleppo",0,0,0,5927000,24,0
"25",36,2011," Aleppo",0,0,0,5927000,25,0
"26",37,2011," Aleppo",0,0,0,5927000,26,0
"27",38,2011," Aleppo",0,0,0,5927000,27,0
"28",39,2011," Aleppo",0,0,0,5927000,28,0
"29",40,2011," Aleppo",0,0,0,5927000,29,0
"30",41,2011," Aleppo",0,0,0,5927000,30,0
"31",42,2011," Aleppo",0,0,0,5927000,31,0
"32",43,2011," Aleppo",0,0,0,5927000,32,0
"33",44,2011," Aleppo",0,0,0,5927000,33,0
"34",45,2011," Aleppo",0,0,0,5927000,34,0
"35",46,2011," Aleppo",0,0,0,5927000,35,0
"36",47,2011," Aleppo",0,0,0,5927000,36,0
"37",48,2011," Aleppo",0,0,0,5927000,37,0
"38",49,2011," Aleppo",0,0,0,5927000,38,0
"39",50,2011," Aleppo",0,0,0,5927000,39,0
"40",51,2011," Aleppo",0,0,0,5927000,40,0
"41",52,2011," Aleppo",0,0,0,5927000,41,0
"42",53,2011," Aleppo",0,0,0,5927000,42,0
"43",1,2012," Aleppo",0,0,0,5927000,43,0
"44",2,2012," Aleppo",0,0,0,5927000,44,0
"45",3,2012," Aleppo",0,0,0,5927000,45,0
"46",4,2012," Aleppo",0,0,0,5927000,46,0
"47",5,2012," Aleppo",0,0,0,5927000,47,0
"48",6,2012," Aleppo",1,12,6,5927000,48,0
"49",7,2012," Aleppo",0,0,0,5927000,49,1
"50",8,2012," Aleppo",0,0,0,5927000,50,0
"51",9,2012," Aleppo",0,0,0,5927000,51,0
"52",10,2012," Aleppo",0,0,0,5927000,52,0
"53",11,2012," Aleppo",1,9,5,5927000,53,0
"54",12,2012," Aleppo",2,7,3,5927000,54,1
"55",13,2012," Aleppo",0,0,0,5927000,55,2
"56",14,2012," Aleppo",1,6,1,5927000,56,0
"57",15,2012," Aleppo",0,0,0,5927000,57,1
"58",16,2012," Aleppo",0,0,0,5927000,58,0
"59",17,2012," Aleppo",1,4,4,5927000,59,0
"60",18,2012," Aleppo",2,3,2,5927000,60,1
"61",19,2012," Aleppo",0,0,0,5927000,61,2
"62",20,2012," Aleppo",1,12,1,5927000,62,0
"63",21,2012," Aleppo",0,0,0,5927000,63,1
"64",22,2012," Aleppo",1,12,5,5927000,64,0
"65",23,2012," Aleppo",1,12,1,5927000,65,1
"66",24,2012," Aleppo",3,20,4,5927000,66,1
"67",25,2012," Aleppo",0,0,0,5927000,67,3
"68",26,2012," Aleppo",4,10,1,5927000,68,0
"69",27,2012," Aleppo",3,6,2,5927000,69,4
"70",28,2012," Aleppo",0,0,0,5927000,70,3
"71",29,2012," Aleppo",1,22,23,5927000,71,0
"72",30,2012," Aleppo",3,24,9,5927000,72,1
"73",31,2012," Aleppo",5,9,2,5927000,73,3
"74",31,2012," Aleppo",7,10,15,5927000,73,5
"75",32,2012," Aleppo",23,13,23,5927000,74,7
"76",33,2012," Aleppo",1,22,12,5927000,75,23
"77",34,2012," Aleppo",11,9,11,5927000,76,1
"78",35,2012," Aleppo",12,15,11,5927000,77,11
"79",36,2012," Aleppo",1,11,14,5927000,78,12
"80",37,2012," Aleppo",49,7,22,5927000,79,1
"81",38,2012," Aleppo",4,6,28,5927000,80,49
"82",39,2012," Aleppo",21,12,15,5927000,81,4
"83",40,2012," Aleppo",4,4,9,5927000,82,21
"84",40,2012," Aleppo",4,7,15,5927000,82,4
"85",41,2012," Aleppo",4,11,19,5927000,83,4
"86",42,2012," Aleppo",17,6,25,5927000,84,4
"87",43,2012," Aleppo",5,8,26,5927000,85,17
"88",44,2012," Aleppo",22,4,5,5927000,86,5
"89",45,2012," Aleppo",14,9,29,5927000,87,22
"90",46,2012," Aleppo",1,14,26,5927000,88,14
"91",47,2012," Aleppo",7,6,29,5927000,89,1
"92",48,2012," Aleppo",8,9,24,5927000,90,7
"93",12,2011," Damascus",0,0,0,1780000,1,NA
"94",13,2011," Damascus",0,0,0,1780000,2,0
"95",14,2011," Damascus",0,0,0,1780000,3,0
"96",15,2011," Damascus",0,0,0,1780000,4,0
"97",16,2011," Damascus",0,0,0,1780000,5,0
"98",17,2011," Damascus",0,0,0,1780000,6,0
"99",18,2011," Damascus",0,0,0,1780000,7,0
"100",19,2011," Damascus",0,0,0,1780000,8,0
"101",20,2011," Damascus",0,0,0,1780000,9,0
"102",21,2011," Damascus",0,0,0,1780000,10,0
"103",22,2011," Damascus",0,0,0,1780000,11,0
"104",23,2011," Damascus",0,0,0,1780000,12,0
"105",24,2011," Damascus",0,0,0,1780000,13,0
"106",25,2011," Damascus",0,0,0,1780000,14,0
"107",26,2011," Damascus",0,0,0,1780000,15,0
"108",27,2011," Damascus",0,0,0,1780000,16,0
"109",28,2011," Damascus",0,0,0,1780000,17,0
"110",29,2011," Damascus",0,0,0,1780000,18,0
"111",30,2011," Damascus",0,0,0,1780000,19,0
"112",31,2011," Damascus",0,0,0,1780000,20,0
"113",32,2011," Damascus",0,0,0,1780000,21,0
"114",33,2011," Damascus",0,0,0,1780000,22,0
"115",34,2011," Damascus",0,0,0,1780000,23,0
"116",35,2011," Damascus",0,0,0,1780000,24,0
"117",36,2011," Damascus",0,0,0,1780000,25,0
"118",37,2011," Damascus",0,0,0,1780000,26,0
