"","X","Status","Sex","Province","Area","Date.of.death","Cause.of.death","Province2"
"1",1," Civilian"," Adult - Male"," Lattakia"," Zira'a",2011-03-26," Shooting","Lattakia"
"2",2," Civilian"," Adult - Male"," Lattakia"," ",2011-03-26," Shooting","Lattakia"
"3",3," Civilian"," Adult - Male"," Lattakia"," ",2011-03-26," Shooting","Lattakia"
"4",4," Civilian"," Adult - Male"," Lattakia"," ",2011-03-26," Shooting","Lattakia"
"5",5," Civilian"," Adult - Male"," Lattakia"," Harsh",2011-03-26," Shooting","Lattakia"
"6",6," Civilian"," Adult - Male"," Daraa"," Mohaja",2011-03-26," Shooting","Dar`a"
"7",7," Civilian"," Adult - Male"," Lattakia"," Mar Tqla",2011-03-26," Shooting","Lattakia"
"8",8," Civilian"," Adult - Male"," Lattakia"," Mar Taqla",2011-03-26," Shooting","Lattakia"
"9",9," Civilian"," Adult - Male"," Lattakia"," ",2011-03-25," Shooting","Lattakia"
"10",10," Civilian"," Adult - Male"," Daraa"," Sanamein",2011-03-25," Shooting","Dar`a"
"11",11," Civilian"," Adult - Male"," Daraa"," Kafar Shams",2011-03-25," Shooting","Dar`a"
"12",12," Civilian"," Adult - Male"," Daraa"," Tafas",2011-03-25," Shooting","Dar`a"
"13",13," Civilian"," Adult - Male"," Daraa"," Sanamein",2011-03-25," Shooting","Dar`a"
"14",14," Civilian"," Adult - Male"," Daraa"," Kafar Shams",2011-03-25," Shooting","Dar`a"
"15",15," Civilian"," Child - Female"," Daraa"," Daraa The City",2011-03-25," Shooting","Dar`a"
"16",16," Civilian"," Adult - Male"," Daraa"," Sanamain",2011-03-25," Shooting","Dar`a"
"17",17," Civilian"," Adult - Male"," Daraa"," Inkhel",2011-03-24," Shooting","Dar`a"
"18",18," Civilian"," Adult - Male"," Lattakia"," Dawar al-ZIra'a",2011-03-23," Shooting","Lattakia"
"19",19," Civilian"," Adult - Male"," Daraa"," Khirbet Ghazaleh: Al-Kateba",2011-03-23," Shooting","Dar`a"
"20",20," Civilian"," Adult - Male"," Daraa"," ",2011-03-23," Shooting","Dar`a"
"21",21," Civilian"," Adult - Male"," Daraa"," ",2011-03-23," Shooting","Dar`a"
"22",22," Civilian"," Adult - Male"," Daraa"," Hirak",2011-03-23," Shooting","Dar`a"
"23",23," Civilian"," Adult - Male"," Daraa"," ",2011-03-23," Shooting","Dar`a"
"24",24," Civilian"," Adult - Male"," Daraa"," Daraa The City",2011-03-23," Shooting","Dar`a"
"25",25," Civilian"," Adult - Male"," Daraa"," ",2011-03-23," Shooting","Dar`a"
"26",26," Civilian"," Adult - Male"," Daraa"," Al-Sora",2011-03-23," Shooting","Dar`a"
"27",27," Civilian"," Adult - Male"," Daraa"," Hirak",2011-03-23," Shooting","Dar`a"
"28",28," Civilian"," Adult - Male"," Daraa"," ",2011-03-23," Shooting","Dar`a"
"29",29," Civilian"," Adult - Male"," Daraa"," Tafas",2011-03-23," Shooting","Dar`a"
"30",30," Civilian"," Adult - Male"," Daraa"," ",2011-03-23," Shooting","Dar`a"
"31",31," Civilian"," Adult - Male"," Daraa"," ",2011-03-23," Shooting","Dar`a"
"32",32," Civilian"," Adult - Male"," Daraa"," ",2011-03-23," Shooting","Dar`a"
"33",33," Civilian"," Adult - Male"," Daraa"," ",2011-03-23," Shooting","Dar`a"
"34",34," Civilian"," Adult - Male"," Daraa"," Hirak",2011-03-23," Shooting","Dar`a"
"35",35," Civilian"," Adult - Male"," Daraa"," Al-Sora",2011-03-23," Shooting","Dar`a"
"36",36," Non-Civilian"," Adult - Male"," Homs"," Talkalakh",2011-03-23," Shooting","Hims"
"37",37," Civilian"," Adult - Male"," Daraa"," Alma",2011-03-23," Shooting","Dar`a"
"38",38," Civilian"," Adult - Male"," Daraa"," Al-Sora",2011-03-23," Shooting","Dar`a"
"39",39," Civilian"," Adult - Male"," Daraa"," Hara",2011-03-23," Shooting","Dar`a"
"40",40," Civilian"," Adult - Male"," Daraa"," ",2011-03-23," Shooting","Dar`a"
"41",41," Civilian"," Adult - Male"," Daraa"," Hirak",2011-03-23," Shooting","Dar`a"
