"","X","Status","Sex","Province","Area","Date.of.death","Cause.of.death","Province2"
"53",53," Non-Civilian"," Adult - Male"," Daraa"," Hirak",2011-04-17," Detention - Torture","Dar`a"
"60",60," Civilian"," Adult - Male"," Homs"," Baba Amr",2011-04-17," Detention - Torture","Hims"
"70",70," Civilian"," Adult - Male"," Idlib"," Jisr Al-Shoghour",2011-04-16," Field Execution","Idlib"
"82",82," Civilian"," Adult - Male"," Homs"," Talbiseh",2011-04-01," Kidnapping - Torture - Execution","Hims"
"85",85," Civilian"," Adult - Male"," Homs"," Bayadeh",2011-04-01," Detention - Torture - Execution","Hims"
"139",141," Non-Civilian"," Adult - Male"," Homs"," Tadmor",2011-04-21," Field Execution","Hims"
"165",167," Non-Civilian"," Adult - Male"," Hasakeh"," Tal Nimr",2011-04-23," Detention - Execution","Al <U+1E24>asakah"
"197",199," Civilian"," Adult - Male"," Daraa"," ",2011-04-29," Detention - Torture","Dar`a"
"204",206," Non-Civilian"," Adult - Male"," Hasakeh"," Qamishli",2011-04-29," Field Execution","Al <U+1E24>asakah"
"205",207," Civilian"," Adult - Male"," Daraa"," Mseifra",2011-04-29," Detention - Torture","Dar`a"
"206",208," Civilian"," Adult - Male"," Daraa"," Mseifra",2011-04-29," Detention - Torture","Dar`a"
"228",230," Non-Civilian"," Adult - Male"," Idlib"," Saraqeb",2011-04-26," Field Execution","Idlib"
"240",242," Civilian"," Adult - Male"," Damascus Suburbs"," Douma",2011-04-30," Detention - Torture","Rif Dimashq"
"256",258," Civilian"," Adult - Male"," Daraa"," Msaifra",2011-04-29," Detention - Torture","Dar`a"
"271",273," Civilian"," Child - Male"," Daraa"," Jizza",2011-04-29," Detention - Torture","Dar`a"
"273",275," Civilian"," Adult - Male"," Daraa"," Ghasm Village",2011-04-29," Detention - Torture","Dar`a"
"288",290," Civilian"," Adult - Male"," Homs"," Karm Zaitun",2011-05-10," Field Execution","Hims"
"299",301," Civilian"," Adult - Male"," Daraa"," ",2011-05-08," Field Execution","Dar`a"
"301",303," Civilian"," Adult - Male"," Homs"," Bayadeh",2011-05-07," Kidnapping - Torture - Execution","Hims"
"323",325," Non-Civilian"," Adult - Male"," Damascus Suburbs"," Baqqen",2011-05-06," Field Execution","Rif Dimashq"
"337",339," Civilian"," Adult - Male"," Lattakia"," Shiekh Daher",2011-05-18," Detention - Torture","Lattakia"
"354",356," Civilian"," Child - Female"," Daraa"," Inkhel",2011-05-16," Field Execution","Dar`a"
"356",358," Civilian"," Adult - Male"," Daraa"," Inkhel",2011-05-16," Field Execution","Dar`a"
"358",360," Civilian"," Adult - Male"," Daraa"," Inkhel",2011-05-16," Field Execution","Dar`a"
"359",361," Civilian"," Adult - Male"," Daraa"," Inkhel",2011-05-16," Field Execution","Dar`a"
"364",366," Civilian"," Adult - Male"," Damascus Suburbs"," Mouadamyeh",2011-05-15," Detention - Torture","Rif Dimashq"
"367",369," Civilian"," Adult - Male"," Daraa"," Dara Al-Balad",2011-05-15," Field Execution","Dar`a"
"368",370," Civilian"," Adult - Male"," Daraa"," Dara Al-Balad",2011-05-15," Field Execution","Dar`a"
"369",371," Civilian"," Adult - Male"," Daraa"," Dara Al-Balad",2011-05-15," Field Execution","Dar`a"
"372",374," Non-Civilian"," Adult - Male"," Homs"," ",2011-05-14," Field Execution","Hims"
"384",386," Non-Civilian"," Adult - Male"," Damascus Suburbs"," Dumair",2011-05-22," Detention - Torture","Rif Dimashq"
"387",389," Civilian"," Adult - Male"," Homs"," Deir Baalba",2011-05-21," Field Execution","Hims"
"389",391," Civilian"," Adult - Male"," Homs"," Khaldieh",2011-05-21," Field Execution","Hims"
"390",392," Civilian"," Adult - Male"," Homs"," ",2011-05-21," Field Execution","Hims"
"391",393," Civilian"," Adult - Male"," Homs"," ",2011-05-21," Field Execution","Hims"
"392",394," Civilian"," Adult - Male"," Homs"," ",2011-05-21," Field Execution","Hims"
"396",398," Civilian"," Adult - Male"," Daraa"," Msaifra",2011-05-21," Detention - Torture","Dar`a"
"434",436," Civilian"," Adult - Male"," Homs"," Talkalakh",2011-05-31," Detention - Torture - Execution","Hims"
"435",437," Civilian"," Child - Female"," Daraa"," Hirak",2011-05-31," Field Execution","Dar`a"
"444",446," Civilian"," Adult - Male"," Homs"," Talkalakh",2011-05-30," Detention - Torture - Execution","Hims"
"446",448," Civilian"," Adult - Male"," Homs"," Talkalakh",2011-05-30," Detention - Torture - Execution","Hims"
"452",454," Civilian"," Adult - Male"," Homs"," Talkalakh",2011-05-30," Detention - Torture","Hims"
"457",459," Civilian"," Adult - Male"," Homs"," Talbiseh",2011-05-29," Field Execution","Hims"
"463",465," Civilian"," Adult - Male"," Aleppo"," ",2011-05-28," Detention - Torture","Aleppo"
"475",477," Civilian"," Adult - Male"," Daraa"," Msaifra",2011-05-26," Detention - Torture","Dar`a"
"476",478," Civilian"," Adult - Male"," Daraa"," Daraa Camp",2011-05-25," Field Execution","Dar`a"
"477",479," Civilian"," Adult - Male"," Daraa"," Msaifra",2011-05-24," Detention - Torture","Dar`a"
"572",574," Civilian"," Adult - Male"," Homs"," Bani Khalid Tribe",2011-06-04," Kidnapping - Torture - Execution","Hims"
"590",592," Civilian"," Child - Male"," Homs"," Rastan",2011-06-18," Detention - Torture","Hims"
"608",610," Non-Civilian"," Adult - Male"," Idlib"," جسر الشغور",2011-06-10," Field Execution","Idlib"
"609",611," Non-Civilian"," Adult - Male"," Idlib"," Maret Noman",2011-06-10," Field Execution","Idlib"
"627",629," Civilian"," Adult - Male"," Hama"," Hama",2011-07-07," Field Execution","Hamah"
"628",630," Civilian"," Adult - Male"," Daraa"," Nawa",2011-07-07," Detention - Torture","Dar`a"
"643",645," Civilian"," Adult - Male"," Daraa"," Maaraba",2011-07-04," Detention - Torture","Dar`a"
"648",650," Civilian"," Adult - Male"," Damascus Suburbs"," Muadamiyat El-Sham",2011-07-01," Detention - Torture","Rif Dimashq"
"681",683," Civilian"," Adult - Male"," Damascus Suburbs"," Nabk",2011-07-18," Detention - Torture","Rif Dimashq"
"698",700," Civilian"," Adult - Male"," Idlib"," Zoro Village",2011-07-15," Detention - Torture","Idlib"
"701",703," Civilian"," Adult - Male"," Idlib"," Jabal Zawyeh: Hawash",2011-07-15," Detention - Torture","Idlib"
"715",717," Non-Civilian"," Adult - Male"," Damascus Suburbs"," ",2011-07-13," Field Execution","Rif Dimashq"
"732",734," Civilian"," Adult - Male"," Damascus Suburbs"," Douma",2011-07-29," Field Execution","Rif Dimashq"
"741",743," Civilian"," Adult - Male"," Homs"," Homs",2011-07-29," Detention - Execution","Hims"
"743",745," Non-Civilian"," Adult - Male"," Aleppo"," Tadef -Aleppo",2011-07-28," Field Execution","Aleppo"
"755",757," Civilian"," Adult - Male"," Homs"," Khalidiya",2011-07-25," Kidnapping - Torture - Execution","Hims"
"759",761," Civilian"," Adult - Male"," Homs"," ",2011-07-24," Detention - Torture","Hims"
"808",810," Non-Civilian"," Adult - Male"," Daraa"," Khirbet Ghazaleh",2011-07-31," Field Execution","Dar`a"
"826",828," Civilian"," Adult - Male"," Deir Ezzor"," Bokamal",2011-08-04," Detention - Torture","Dayr Az Zawr"
"873",875," Civilian"," Adult - Male"," Homs"," Bab Sbaa",2011-08-09," Detention - Torture","Hims"
"876",878," Civilian"," Adult - Male"," Daraa"," al-Sabeel Neighborhood",2011-08-08," Detention - Torture","Dar`a"
"886",888," Non-Civilian"," Adult - Male"," Homs"," Rastan",2011-08-07," Field Execution","Hims"
"893",895," Civilian"," Adult - Male"," Hama"," Qosour",2011-08-07," Field Execution","Hamah"
"918",920," Non-Civilian"," Adult - Male"," Damascus Suburbs"," Daraya",2011-08-13," Field Execution","Rif Dimashq"
"919",921," Civilian"," Adult - Male"," Daraa"," Nawa",2011-08-13," Detention - Torture","Dar`a"
"920",922," Civilian"," Adult - Male"," Homs"," Kafarlaha",2011-08-13," Detention - Torture","Hims"
"921",923," Non-Civilian"," Adult - Male"," Homs"," ",2011-08-13," Field Execution","Hims"
"923",925," Civilian"," Adult - Male"," Homs"," Taldo",2011-08-13," Detention - Torture","Hims"
"926",928," Non-Civilian"," Adult - Male"," Damascus Suburbs"," Daraya",2011-08-12," Field Execution","Rif Dimashq"
"928",930," Non-Civilian"," Adult - Male"," Deir Ezzor"," Bokamal",2011-08-12," Field Execution","Dayr Az Zawr"
"938",940," Non-Civilian"," Adult - Male"," Homs"," Qosair",2011-08-11," Field Execution","Hims"
"939",941," Civilian"," Adult - Male"," Idlib"," Farkaya",2011-08-11," Field Execution","Idlib"
"941",943," Civilian"," Adult - Male"," Lattakia"," Hiffa: Dafil",2011-08-11," Field Execution","Lattakia"
"944",946," Civilian"," Adult - Male"," Homs"," Der Baalba",2011-08-10," Detention - Torture","Hims"
"950",952," Civilian"," Adult - Male"," Homs"," ",2011-08-10," Detention - Torture","Hims"
"956",958," Civilian"," Adult - Male"," Deir Ezzor"," Jura",2011-08-09," Field Execution","Dayr Az Zawr"
"958",960," Civilian"," Adult - Male"," Homs"," ",2011-08-09," Detention - Torture","Hims"
"960",962," Non-Civilian"," Adult - Male"," Hama"," Mesyaf",2011-08-19," Field Execution","Hamah"
"993",995," Civilian"," Adult - Male"," Homs"," ",2011-08-15," Detention - Torture","Hims"
"1009",1011," Civilian"," Adult - Male"," Homs"," Houla: Taldahab",2011-08-29," Detention - Torture","Hims"
"1010",1012," Civilian"," Adult - Male"," Homs"," Houla",2011-08-29," Detention - Torture","Hims"
"1011",1013," Civilian"," Adult - Male"," Homs"," Houla: Taldahab",2011-08-29," Detention - Torture","Hims"
"1013",1015," Civilian"," Adult - Male"," Idlib"," Kafanubbul",2011-08-29," Field Execution","Idlib"
"1015",1017," Civilian"," Adult - Male"," Hama"," al-Hader",2011-08-28," Detention - Torture","Hamah"
"1019",1021," Civilian"," Adult - Male"," Homs"," Bab Sbaa",2011-08-27," Detention - Torture - Execution","Hims"
"1024",1026," Non-Civilian"," Adult - Male"," Daraa"," Busra Sham",2011-08-26," Field Execution","Dar`a"
"1027",1029," Civilian"," Adult - Male"," Idlib"," Maaret Al-Nouman",2011-08-26," Detention - Torture","Idlib"
"1030",1032," Civilian"," Adult - Male"," Deir Ezzor"," ",2011-08-26," Detention - Execution","Dayr Az Zawr"
"1035",1037," Civilian"," Adult - Male"," Lattakia"," Jableh",2011-08-25," Field Execution","Lattakia"
"1040",1042," Civilian"," Adult - Male"," Hama"," ",2011-08-24," Detention - Torture","Hamah"
"1042",1044," Non-Civilian"," Adult - Male"," Hama"," ",2011-08-23," Field Execution","Hamah"
"1064",1066," Civilian"," Adult - Male"," Hama"," Mysiaf",2011-09-04," Field Execution","Hamah"
"1065",1067," Civilian"," Adult - Male"," Homs"," ",2011-09-04," Field Execution","Hims"
"1067",1069," Civilian"," Adult - Male"," Idlib"," Saraqeb",2011-09-04," Detention - Torture","Idlib"
"1079",1081," Civilian"," Adult - Male"," Daraa"," Daraa al-Mahatta",2011-09-04," Detention - Execution","Dar`a"
"1080",1082," Civilian"," Adult - Male"," Deir Ezzor"," Jura",2011-09-04," Detention - Torture","Dayr Az Zawr"
"1090",1092," Civilian"," Adult - Male"," Damascus Suburbs"," Hamouria",2011-09-02," Field Execution","Rif Dimashq"
"1108",1110," Civilian"," Adult - Male"," Homs"," Baba Amr",2011-09-11," Detention - Torture","Hims"
"1109",1111," Civilian"," Adult - Male"," Damascus Suburbs"," Aqraba",2011-09-11," Detention - Torture","Rif Dimashq"
"1114",1116," Civilian"," Adult - Male"," Homs"," Baba Amr",2011-09-10," Kidnapping - Torture - Execution","Hims"
"1117",1119," Civilian"," Adult - Male"," Damascus"," Rukneddin",2011-09-09," Field Execution","Damascus"
"1121",1123," Civilian"," Adult - Male"," Homs"," Der Baalba",2011-09-09," Detention - Execution","Hims"
"1125",1127," Civilian"," Adult - Male"," Damascus Suburbs"," Zabadany",2011-09-09," Field Execution","Rif Dimashq"
"1127",1129," Non-Civilian"," Adult - Male"," Idlib"," Heesh",2011-09-08," Field Execution","Idlib"
"1129",1131," Non-Civilian"," Adult - Male"," Idlib"," Saraqeb: Ma'ardabsi",2011-09-08," Field Execution","Idlib"
"1130",1132," Civilian"," Adult - Male"," Idlib"," Bassamis",2011-09-08," Detention - Torture","Idlib"
"1141",1143," Civilian"," Adult - Male"," Lattakia"," ",2011-09-07," Detention - Execution","Lattakia"
"1143",1145," Civilian"," Adult - Male"," Idlib"," ",2011-09-07," Detention - Torture","Idlib"
"1151",1153," Non-Civilian"," Adult - Male"," Daraa"," Nawa",2011-09-07," Field Execution","Dar`a"
"1159",1161," Civilian"," Adult - Male"," Idlib"," Jozaf",2011-09-16," Detention - Torture - Execution","Idlib"
"1168",1170," Civilian"," Adult - Male"," Idlib"," Abdeita",2011-09-15," Detention - Execution","Idlib"
"1173",1175," Civilian"," Adult - Male"," Homs"," Baba Amr",2011-09-14," Detention - Torture","Hims"
"1186",1188," Civilian"," Adult - Male"," Homs"," Baba Amr",2011-09-13," Detention - Torture","Hims"
"1212",1214," Civilian"," Adult - Male"," Homs"," Qosair: Abo Hora",2011-09-22," Detention - Torture - Execution","Hims"
"1217",1219," Non-Civilian"," Adult - Male"," Daraa"," Busr Harir",2011-09-21," Detention - Torture","Dar`a"
